geodatabase,layer,status,error,crs,epsg,geometry_types,bbox,obb_bbox,feature_count,has_geometry,field_count,field_names,field_types,first_word,memory_mb,has_z
D:\NEOM_PROJECT\KBD Coral Restoration Data\83393_20251006_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,NEOM_Coral_Cover_Percentage,success,,EPSG:32636,32636,Point,"[np.float64(666591.9725000001), np.float64(3057788.0713), np.float64(748011.0175000001), np.float64(3110627.4619999994)]","[(748011.0175000001, 3057788.0713), (665773.7898594108, 3101106.0975926365), (677229.4409512988, 3122854.1103069857), (759466.6685972689, 3079536.0840095845), (748011.0175000001, 3057788.0713)]",97,TRUE,24,"Name, Transect, Category, Number_, Old_Database_Table_Name, Depth_m, Combined, Name_Cor, X, Y, Old_Name, AreaName, Author, Source, Project_Re, BDC_Projec, CreationDate, Creator, EditDate, Editor, Document_Number, DocumentTitle, ReportDate, geometry","Name:object, Transect:object, Category:object, Number_:float64, Old_Database_Table_Name:object, Depth_m:int32, Combined:object, Name_Cor:object, X:float64, Y:float64, Old_Name:object, AreaName:object, Author:object, Source:object, Project_Re:object, BDC_Projec:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, Document_Number:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], geometry:geometry",NEOM_Coral,0.123,FALSE
D:\NEOM_PROJECT\KBD Coral Restoration Data\83393_20251006_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,NEOM_Fish_Species_Richness,success,,EPSG:32636,32636,Point,"[np.float64(666591.9725000001), np.float64(3057788.0713), np.float64(748011.0175000001), np.float64(3110627.4619999994)]","[(748011.0175000001, 3057788.0713), (666591.9725000001, 3100675.1241999995), (677156.1086943195, 3120730.6379593923), (758575.1536941461, 3077843.5850592735), (748011.0175000001, 3057788.0713)]",23,TRUE,20,"Site, Longitude, Latitude, Location, Doc_Ref, Name, SUM_Number, AreaName, Author, Source, Project_Re, BDC_Projec, CreationDate, Creator, EditDate, Editor, Document_Number, DocumentTitle, ReportDate, geometry","Site:object, Longitude:float64, Latitude:float64, Location:object, Doc_Ref:object, Name:object, SUM_Number:float64, AreaName:object, Author:object, Source:object, Project_Re:object, BDC_Projec:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, Document_Number:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], geometry:geometry",NEOM_Fish,0.026,FALSE
D:\NEOM_PROJECT\KBD Coral Restoration Data\83393_20251006_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,NEOM_Coral_Health_Percentage,success,,EPSG:32636,32636,Point,"[np.float64(666591.9725000001), np.float64(3057788.0713), np.float64(748011.0175000001), np.float64(3110627.4619999994)]","[(748011.0175000001, 3057788.0713), (665773.7898594108, 3101106.0975926365), (677229.4409512988, 3122854.1103069857), (759466.6685972689, 3079536.0840095845), (748011.0175000001, 3057788.0713)]",1194,TRUE,29,"Name, SUBCATEGORIES____of_transect_, Number_, Category, Statistics, Transect, Remarks, Site, Coral_Health, Depth_m, Combined, Name_Cor, X, Y, Duplicate, Old_Name, AreaName, Author, Source, Project_Re, BDC_Projec, CreationDate, Creator, EditDate, Editor, Document_Number, DocumentTitle, ReportDate, geometry","Name:object, SUBCATEGORIES____of_transect_:object, Number_:float64, Category:object, Statistics:object, Transect:object, Remarks:object, Site:object, Coral_Health:object, Depth_m:int32, Combined:object, Name_Cor:object, X:float64, Y:float64, Duplicate:object, Old_Name:object, AreaName:object, Author:object, Source:object, Project_Re:object, BDC_Projec:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, Document_Number:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], geometry:geometry",NEOM_Coral,1.774,FALSE
D:\NEOM_PROJECT\KBD Coral Restoration Data\83393_20251008_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,NEOM_Dive_Site_Ranking,success,,EPSG:4326,4326,Point,"[np.float64(34.55081700000005), np.float64(27.596067000000062), np.float64(35.47885300000007), np.float64(28.877361000000064)]","[(34.83275000000003, 28.877361000000064), (35.47885300000007, 27.660881000000074), (34.92231723995855, 27.365290916998163), (34.276214239958506, 28.581770916998153), (34.83275000000003, 28.877361000000064)]",135,TRUE,30,"OBJECTID_12__, Name__, Dive, Dive_Site__, Stars, Average_Depth_m, Max_Depth_m, Site_Type, Area, Priority_Site_Identified_by_NEO, NoGo_Areas_, Selected_Sites, F3D_Modelled, MERGE_SRC, Category, POINT_X, POINT_Y, AreaName, Author, Source, Project_Re, BDC_Projec, CreationDate, Creator, EditDate, Editor, Document_Number, DocumentTitle, ReportDate, geometry","OBJECTID_12__:float64, Name__:object, Dive:object, Dive_Site__:object, Stars:float64, Average_Depth_m:float64, Max_Depth_m:float64, Site_Type:object, Area:object, Priority_Site_Identified_by_NEO:object, NoGo_Areas_:object, Selected_Sites:object, F3D_Modelled:object, MERGE_SRC:object, Category:object, POINT_X:float64, POINT_Y:float64, AreaName:object, Author:object, Source:object, Project_Re:object, BDC_Projec:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms], Editor:object, Document_Number:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], geometry:geometry",NEOM_Dive,0.193,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Birds and Turtles Surveys AECOM 04 NEOM FinalData GDB 20211209\Spatial Data\Birds and Turtles Surveys AECOM 04_NEOM_FinalData_GDB_20211209.gdb,Osprey_SootyFalcon_Observations_M_fauna,success,,EPSG:32636,32636,Point,"[np.float64(662228.5746999998), np.float64(3060376.173800001), np.float64(725224.8578000003), np.float64(3108950.833900001)]","[(725224.8578000003, 3060376.173800001), (660963.1187953759, 3102708.1767468783), (675730.8343071408, 3125126.18231184), (739992.5731037566, 3082794.179385654), (725224.8578000003, 3060376.173800001)]",190,TRUE,42,"MasterPlan, SurveyCode, SurveyName, SurveyTypeM, AreaName, StartDate, EndDate, ObsDate, ObsMethod, SampleID, ScientificName, ComName, Genus, FamilyName, Count, IUCN_GL, HCP_SC_04, HabitatType, SampleDepth, WTemp, Visibility, Tide, CurrDir, CurrSpeed, Author, Comments, Source, Species, TrackUnit, Name, Sex, NestStatus, Category, Number, Behaviour, SuitableCliff, TimeRel, IslandMain, IslandName, FINAL_X, FINAL_Y, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyTypeM:object, AreaName:object, StartDate:datetime64[ms], EndDate:datetime64[ms], ObsDate:datetime64[ms], ObsMethod:object, SampleID:object, ScientificName:object, ComName:object, Genus:object, FamilyName:object, Count:float64, IUCN_GL:object, HCP_SC_04:object, HabitatType:object, SampleDepth:float64, WTemp:float64, Visibility:float64, Tide:object, CurrDir:object, CurrSpeed:object, Author:object, Comments:object, Source:object, Species:object, TrackUnit:object, Name:object, Sex:object, NestStatus:object, Category:object, Number:float64, Behaviour:object, SuitableCliff:object, TimeRel:object, IslandMain:object, IslandName:object, FINAL_X:float64, FINAL_Y:float64, geometry:geometry",Osprey_SootyFalcon,0.216,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Birds and Turtles Surveys AECOM 04 NEOM FinalData GDB 20211209\Spatial Data\Birds and Turtles Surveys AECOM 04_NEOM_FinalData_GDB_20211209.gdb,Other_Observations_M_sample_site,success,,EPSG:32636,32636,Point,"[np.float64(662979.0952000003), np.float64(3060396.7574000005), np.float64(743427.2077000001), np.float64(3108481.9678000007)]","[(667533.7101578005, 3111145.7870913097), (743427.2077000001, 3063894.8805), (736751.7631316684, 3053172.909550459), (660858.2654903722, 3100423.8162427684), (667533.7101578005, 3111145.7870913097)]",38,TRUE,28,"MasterPlan, SurveyCode, SurveyName, SurveyTypeM, AreaName, StartDate, EndDate, ObsDate, SampleID, DepthRefPt, SampleDepth, SampleUnit, CollectionDevice, CollectionFrequency, SampleMatrix, IUCN_GL, HCP_SC_04, Comments, Author, Source, Observation, created_date, user, IslandMain, IslandName, FINAL_X, FINAL_Y, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyTypeM:object, AreaName:object, StartDate:datetime64[ms], EndDate:datetime64[ms], ObsDate:datetime64[ms], SampleID:object, DepthRefPt:object, SampleDepth:float64, SampleUnit:object, CollectionDevice:object, CollectionFrequency:object, SampleMatrix:object, IUCN_GL:object, HCP_SC_04:object, Comments:object, Author:object, Source:object, Observation:object, created_date:datetime64[ms, UTC], user:object, IslandMain:object, IslandName:object, FINAL_X:float64, FINAL_Y:float64, geometry:geometry",Other_Observations,0.027,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Birds and Turtles Surveys AECOM 04 NEOM FinalData GDB 20211209\Spatial Data\Birds and Turtles Surveys AECOM 04_NEOM_FinalData_GDB_20211209.gdb,Raptor_Satelite_Tagging_M_fauna,success,,EPSG:32636,32636,Point,"[np.float64(713108.4584999997), np.float64(3060470.2216999996), np.float64(725143.8606000002), np.float64(3075680.1680999994)]","[(724899.1053285609, 3060281.7153538875), (713108.4584999997, 3075590.6174999997), (713401.8282563, 3075816.5655525466), (725192.4745920259, 3060507.6631813287), (724899.1053285609, 3060281.7153538875)]",8,TRUE,43,"MasterPlan, SurveyCode, SurveyName, SurveyTypeM, AreaName, StartDate, EndDate, ObsDate, ObsMethod, SampleID, ScientificName, ComName, Genus, FamilyName, Count, IUCN_GL, HCP_SC_04, HabitatType, SampleDepth, WTemp, Visibility, Tide, CurrDir, CurrSpeed, Author, Comments, Source, Species, NestPresent, Number, TrackUnit, Name, Sex, IndividualObs, TimeRel, TimeCapt, EditDate, Editor, IslandMain, IslandName, FINAL_X, FINAL_Y, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyTypeM:object, AreaName:object, StartDate:datetime64[ms], EndDate:datetime64[ms], ObsDate:datetime64[ms], ObsMethod:object, SampleID:object, ScientificName:object, ComName:object, Genus:object, FamilyName:object, Count:float64, IUCN_GL:object, HCP_SC_04:object, HabitatType:object, SampleDepth:float64, WTemp:float64, Visibility:float64, Tide:object, CurrDir:object, CurrSpeed:object, Author:object, Comments:object, Source:object, Species:object, NestPresent:object, Number:float64, TrackUnit:float64, Name:object, Sex:object, IndividualObs:object, TimeRel:datetime64[ms, UTC], TimeCapt:datetime64[ms, UTC], EditDate:datetime64[ms, UTC], Editor:object, IslandMain:object, IslandName:object, FINAL_X:float64, FINAL_Y:float64, geometry:geometry",Raptor_Satelite,0.008,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Birds and Turtles Surveys AECOM 04 NEOM FinalData GDB 20211209\Spatial Data\Birds and Turtles Surveys AECOM 04_NEOM_FinalData_GDB_20211209.gdb,Seas_Shore_Bird_Observations_M_fauna,success,,EPSG:32636,32636,Point,"[np.float64(661726.4393999996), np.float64(3060424.0183000006), np.float64(725337.5861999998), np.float64(3108152.9813)]","[(725236.584075022, 3060349.9331040587), (660789.97465234, 3102922.2412378457), (675886.8343899393, 3125776.097778055), (740333.4438126213, 3083203.789644268), (725236.584075022, 3060349.9331040587)]",121,TRUE,42,"MasterPlan, SurveyCode, SurveyName, SurveyTypeM, AreaName, StartDate, EndDate, ObsDate, ObsMethod, SampleID, ScientificName, ComName, Genus, FamilyName, Count, IUCN_GL, HCP_SC_04, HabitatType, SampleDepth, WTemp, Visibility, Tide, CurrDir, CurrSpeed, Author, Comments, Source, CommonName, Number, Category, Nest, Behaviour, Notes, CreationDate, Creator, EditDate, Editor, IslandMain, IslandName, FINAL_X, FINAL_Y, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyTypeM:object, AreaName:object, StartDate:datetime64[ms], EndDate:datetime64[ms], ObsDate:datetime64[ms], ObsMethod:object, SampleID:object, ScientificName:object, ComName:object, Genus:object, FamilyName:object, Count:float64, IUCN_GL:object, HCP_SC_04:object, HabitatType:object, SampleDepth:float64, WTemp:float64, Visibility:float64, Tide:object, CurrDir:object, CurrSpeed:object, Author:object, Comments:object, Source:object, CommonName:object, Number:float64, Category:object, Nest:object, Behaviour:object, Notes:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, IslandMain:object, IslandName:object, FINAL_X:float64, FINAL_Y:float64, geometry:geometry",Seas_Shore,0.138,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Birds and Turtles Surveys AECOM 04 NEOM FinalData GDB 20211209\Spatial Data\Birds and Turtles Surveys AECOM 04_NEOM_FinalData_GDB_20211209.gdb,Turtle_Observations_M_fauna,success,,EPSG:32636,32636,Point,"[np.float64(662353.4852), np.float64(3060497.5551999994), np.float64(743371.0049999999), np.float64(3109722.1982000005)]","[(738036.2455976486, 3053755.624668959), (657995.8392381317, 3096066.434483475), (672617.330094391, 3123726.2706953012), (752657.736453908, 3081415.4608807852), (738036.2455976486, 3053755.624668959)]",158,TRUE,53,"MasterPlan, SurveyCode, SurveyName, SurveyTypeM, AreaName, StartDate, EndDate, ObsDate, ObsMethod, SampleID, ScientificName, ComName, Genus, FamilyName, Count, IUCN_GL, HCP_SC_04, HabitatType, SampleDepth, WTemp, Visibility, Tide, CurrDir, CurrSpeed, Author, Comments, Source, IslandMain, IslandName, FINAL_X, FINAL_Y, UnderwaterHabitatAssessment, ForagingPriority, Foraging_Turtles, Turtle_Species, Category, Nesting_Species, Quantity, Quantity_Grouping, Beach_Priority, Tracks, Body_pits_, TurtleSightedInWater, TurtleSize, BeachName, UnderwaterHabitatAssessment_2, SandType, ForeshoreZoneHabitat, ForeduneHabitat, Backdune, VegDescription, Slope, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyTypeM:object, AreaName:object, StartDate:datetime64[ms], EndDate:datetime64[ms], ObsDate:datetime64[ms], ObsMethod:object, SampleID:object, ScientificName:object, ComName:object, Genus:object, FamilyName:object, Count:float64, IUCN_GL:object, HCP_SC_04:object, HabitatType:object, SampleDepth:float64, WTemp:float64, Visibility:float64, Tide:object, CurrDir:object, CurrSpeed:object, Author:object, Comments:object, Source:object, IslandMain:object, IslandName:object, FINAL_X:float64, FINAL_Y:float64, UnderwaterHabitatAssessment:object, ForagingPriority:object, Foraging_Turtles:float64, Turtle_Species:object, Category:object, Nesting_Species:object, Quantity:float64, Quantity_Grouping:float64, Beach_Priority:object, Tracks:object, Body_pits_:object, TurtleSightedInWater:object, TurtleSize:object, BeachName:object, UnderwaterHabitatAssessment_2:object, SandType:object, ForeshoreZoneHabitat:object, ForeduneHabitat:object, Backdune:object, VegDescription:object, Slope:object, geometry:geometry",Turtle_Observations,0.223,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Birds and Turtles Surveys AECOM 04 NEOM FinalData GDB 20211209\Spatial Data\Birds and Turtles Surveys AECOM 04_NEOM_FinalData_GDB_20211209.gdb,Tagged_Bird_Movements_M_fauna,success,,EPSG:32636,32636,MultiLineString,"[np.float64(-718836.6732000001), np.float64(-1933985.0181999998), np.float64(1844949.2237999998), np.float64(3076909.8698999994)]","[(854428.3947420219, 3109182.7569059245), (1984448.9127693246, -1880431.108178263), (90091.3516646918, -2309454.870419287), (-1039929.166086347, 2680158.9947274677), (854428.3947420219, 3109182.7569059245)]",9,TRUE,32,"MasterPlan, SurveyCode, SurveyName, SurveyTypeM, AreaName, StartDate, EndDate, ObsDate, ObsMethod, SampleID, ScientificName, ComName, Genus, FamilyName, Count, IUCN_GL, HCP_SC_04, HabitatType, SampleDepth, WTemp, Visibility, Tide, CurrDir, CurrSpeed, Author, Comments, Source, PlatformPath, PlatformNum, Bird, Shape_Length, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyTypeM:object, AreaName:object, StartDate:datetime64[ms], EndDate:datetime64[ms], ObsDate:datetime64[ms], ObsMethod:object, SampleID:object, ScientificName:object, ComName:object, Genus:object, FamilyName:object, Count:float64, IUCN_GL:object, HCP_SC_04:object, HabitatType:object, SampleDepth:float64, WTemp:float64, Visibility:float64, Tide:object, CurrDir:object, CurrSpeed:object, Author:object, Comments:object, Source:object, PlatformPath:object, PlatformNum:object, Bird:object, Shape_Length:float64, geometry:geometry",Tagged_Bird,0.007,TRUE
