shapefile_path,layer_name,status,error,crs,epsg,geometry_types,bbox,obb_bbox,feature_count,has_geometry,has_timestamp,min_date,max_date,field_count,field_names,field_types,first_word,Species,activity,memory_mb,has_z
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\Coastal Effort Merge.shp,Coastal Effort Merge,success,,EPSG:32636,32636.0,LineString,"[np.float64(651736.2382077025), np.float64(3057547.9451131686), np.float64(728413.6952211137), np.float64(3117241.4666229114)]","[(726802.559046495, 3057547.9451131686), (647835.304285076, 3097875.5684499815), (664295.5641414934, 3130107.111706558), (743262.8189313891, 3089779.48844179)]",37.0,True,False,,,3.0,"Id, Distance, geometry","Id:int32, Distance:float64, geometry:geometry",Coastal Effort Merge,,Survey,0.001,True
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\Merge_Transect Effort.shp,Merge_Transect Effort,success,,EPSG:32636,32636.0,LineString,"[np.float64(649032.716066585), np.float64(3035236.061410873), np.float64(750109.5083337825), np.float64(3155328.0982264234)]","[(672829.8546331667, 3156353.2565425998), (761112.1783430778, 3046303.2632055525), (720736.7869227214, 3013914.043840772), (632454.4632128103, 3123964.0371778193)]",69.0,True,False,,,3.0,"Id, Distance, geometry","Id:int32, Distance:float64, geometry:geometry",Merge_Transect Effort,,Survey,0.001,True
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\otherwildlife.shp,otherwildlife,success,,EPSG:32636,32636.0,Point,"[np.float64(654457.2271402796), np.float64(3023474.4142013974), np.float64(758887.6741315745), np.float64(3116138.2829522523)]","[(745612.3027699231, 3012267.6431082217), (650112.1544536732, 3107882.7024555155), (678347.5947579176, 3136084.209155791), (773847.7430741674, 3040469.149808497)]",161.0,True,False,,,15.0,"ID, date, activity, odk_lat, odk_long, odk_time, latitude, longitude, gps_time, waypoints, Type, Group_size, Species, ow_notes, geometry","ID:float64, date:datetime64[ms], activity:object, odk_lat:float64, odk_long:float64, odk_time:datetime64[ms], latitude:float64, longitude:float64, gps_time:datetime64[ms], waypoints:float64, Type:object, Group_size:float64, Species:object, ow_notes:object, geometry:geometry",otherwildlife,,Survey,0.052,False
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\Transect Effort Merge.shp,Transect Effort Merge,success,,EPSG:32636,32636.0,LineString,"[np.float64(649032.716066585), np.float64(3020989.7030980983), np.float64(759861.0368121195), np.float64(3155328.0982264234)]","[(672829.8546331667, 3156353.2565425998), (769092.4463412551, 3036355.309831409), (728717.0549208988, 3003966.0904666283), (632454.4632128103, 3123964.0371778193)]",68.0,True,False,,,3.0,"Id, Distance, geometry","Id:int32, Distance:float64, geometry:geometry",Transect Effort Merge,,Survey,0.001,True
D:\NEOM_PROJECT\Marine_New_Data\Complete dataset for birds and megafauna\2025-05-11_All Marine Megafauna & Avifauna Geodatabase KMZ\FINAL\Shape\._Bird.shp,._Bird,failed,"'D:\NEOM_PROJECT\Marine_New_Data\Complete dataset for birds and megafauna\2025-05-11_All Marine Megafauna & Avifauna Geodatabase KMZ\FINAL\Shape\._Bird.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Complete dataset for birds and megafauna\2025-05-11_All Marine Megafauna & Avifauna Geodatabase KMZ\FINAL\Shape\._Megafauna.shp,._Megafauna,failed,"'D:\NEOM_PROJECT\Marine_New_Data\Complete dataset for birds and megafauna\2025-05-11_All Marine Megafauna & Avifauna Geodatabase KMZ\FINAL\Shape\._Megafauna.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Complete dataset for birds and megafauna\2025-05-11_All Marine Megafauna & Avifauna Geodatabase KMZ\FINAL\Shape\._Turtle.shp,._Turtle,failed,"'D:\NEOM_PROJECT\Marine_New_Data\Complete dataset for birds and megafauna\2025-05-11_All Marine Megafauna & Avifauna Geodatabase KMZ\FINAL\Shape\._Turtle.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Complete dataset for birds and megafauna\2025-05-11_All Marine Megafauna & Avifauna Geodatabase KMZ\FINAL\Shape\Bird.shp,Bird,success,,EPSG:32636,32636.0,Point,"[np.float64(653838.4068502344), np.float64(3039624.1798948054), np.float64(756771.9602981166), np.float64(3225818.9204351506)]","[(683829.3805422584, 3225901.9253156837), (757173.8156225618, 3039806.76768186), (691286.8241848218, 3013839.1700805007), (617942.3891045183, 3199934.3277143245)]",10397.0,True,False,,,118.0,"globalid, parentglob, SUR_Date, Date_Time, Date_Month, SUR_Year, Lon_X, Lat_Y, SPC_List, SPC_Code, CommonName, SPC_Name, BRED_STAT, BRED_CNF, CNT, Stage, SUR_TM, FamilyName, ArabicName, KSASTAT_MJ, IUCN_STATG, IUCNGPOPTR, IUCN_STATR, IUCNRSTATC, IUCNRENM, IUCNRPOPTR, KSASTATBoW, HCP_ABU05, HCP_BB20, KSA_ENM, CMS_AI, CMS_AII, Season, SurAreaFlt, SUR_Area, Area_Code, SurAreaOTH, Surveyor, SurveyorNo, GPS_REF, GPSWPT, KBDPRJName, KBDPRJCode, KBD_Client, KBDCATE, PeriodDay, SUR_ST_TM, WindSPEST, WindDIRST, CloudST, TEMP_ST, VIS_ST, Rain, Habitat, KBDSubCATE, TranType, VP_DUR, NameFlt, Name, NameSitOTH, OBSR_Type, Other, Tide, Invasive, SUR_End_TM, WindSPEEnd, WindDIREnd, CloudEnd, TEMP_End, VIS_End, PHOHABName, PHOHAB_CNT, PHOHABEXT, GPS_HRZACU, S13FRMName, S13MTBGID, GEN_Note, CreationDa, Creator, EditDate, Editor, SPC_OTH, PER_DIS_M, Direction, FlightDUR, FlightMODE, FlightDIR, FlightHGTM, Height_M, PAT_IND, Slope, PlotOnMap, GridREF, Note, ABBA_GP_No, HM_OrderNo, ABBA, BirdsWorld, Order_, Genus, FamilyENG, CMSBN20, AEWA_ANX2, MoU_RAPT, MsAP_VULT, GCC_CVN03, CRPL_CEL, CRPL_CCO, PHO_CNT, PHO_Name, PHO_EXT, S13RT1GID, S13RT1PGID, UID_, Lon_X_OTH1, Lat_YOTH1, LayerName, geometry","globalid:object, parentglob:object, SUR_Date:datetime64[ms], Date_Time:datetime64[ms], Date_Month:object, SUR_Year:int64, Lon_X:float64, Lat_Y:float64, SPC_List:object, SPC_Code:object, CommonName:object, SPC_Name:object, BRED_STAT:object, BRED_CNF:object, CNT:int64, Stage:object, SUR_TM:object, FamilyName:object, ArabicName:object, KSASTAT_MJ:object, IUCN_STATG:object, IUCNGPOPTR:object, IUCN_STATR:object, IUCNRSTATC:object, IUCNRENM:object, IUCNRPOPTR:object, KSASTATBoW:object, HCP_ABU05:object, HCP_BB20:object, KSA_ENM:object, CMS_AI:object, CMS_AII:object, Season:object, SurAreaFlt:object, SUR_Area:object, Area_Code:object, SurAreaOTH:object, Surveyor:object, SurveyorNo:int64, GPS_REF:object, GPSWPT:object, KBDPRJName:object, KBDPRJCode:object, KBD_Client:object, KBDCATE:object, PeriodDay:object, SUR_ST_TM:object, WindSPEST:int64, WindDIRST:object, CloudST:object, TEMP_ST:int64, VIS_ST:object, Rain:object, Habitat:object, KBDSubCATE:object, TranType:object, VP_DUR:float64, NameFlt:object, Name:object, NameSitOTH:object, OBSR_Type:object, Other:object, Tide:object, Invasive:object, SUR_End_TM:object, WindSPEEnd:int64, WindDIREnd:object, CloudEnd:object, TEMP_End:int64, VIS_End:object, PHOHABName:object, PHOHAB_CNT:int64, PHOHABEXT:object, GPS_HRZACU:float64, S13FRMName:object, S13MTBGID:object, GEN_Note:object, CreationDa:datetime64[ms], Creator:object, EditDate:datetime64[ms], Editor:object, SPC_OTH:object, PER_DIS_M:int64, Direction:object, FlightDUR:int64, FlightMODE:object, FlightDIR:object, FlightHGTM:object, Height_M:float64, PAT_IND:object, Slope:object, PlotOnMap:object, GridREF:object, Note:object, ABBA_GP_No:int64, HM_OrderNo:object, ABBA:int64, BirdsWorld:object, Order_:object, Genus:object, FamilyENG:object, CMSBN20:object, AEWA_ANX2:object, MoU_RAPT:object, MsAP_VULT:object, GCC_CVN03:object, CRPL_CEL:object, CRPL_CCO:object, PHO_CNT:int64, PHO_Name:object, PHO_EXT:object, S13RT1GID:object, S13RT1PGID:object, UID_:object, Lon_X_OTH1:float64, Lat_YOTH1:float64, LayerName:object, geometry:geometry",Bird,Bird,,44.248,False
D:\NEOM_PROJECT\Marine_New_Data\Complete dataset for birds and megafauna\2025-05-11_All Marine Megafauna & Avifauna Geodatabase KMZ\FINAL\Shape\Megafauna.shp,Megafauna,success,,EPSG:32636,32636.0,Point,"[np.float64(648425.8256074626), np.float64(3032858.000263132), np.float64(750022.8755425275), np.float64(3213342.0554644214)]","[(680018.3531869003, 3213342.0554644214), (756166.6740656168, 3039097.5141516137), (688933.8932863459, 3009715.45543627), (612785.5726687219, 3183959.9969478715)]",4367.0,True,False,,,134.0,"globalid, Season, KBDSubCATE, NameOTH, GPS_REF, GPSWPT, SUR_Area, Area_Code, SurAreaOTH, SurAreaFlt, Surveyor, SPC_List, SPC_Code, CommonName, SPC_Name, SPC_OTH, Note, FaunaType, FamilyName, Genus, IUCN_STATG, IUCN_STATR, HCP_NCWD04, GCC_CVN03, OBSR_Type, EVIDE, EVIDE_Note, EVIDE_OTH, Stage, CNT_Adult, CNT_JUV, CNT_Young, CNT_Total, MIN_CNT, MAX_CNT, Best_CNT, BEHAV, BEHAV_Note, Habitat, DepthM, GEN_Note, PHO_CNT, PHO_Name, PHO_EXT, Date_Time, SUR_Period, Date_Month, SUR_Year, GPS_HRZACU, Lon_X, Lat_Y, WindSPEM, WindDIR, Cloud, TEMP, Rain, Visibility, Tide, KBDCATE, KBD_Area, DataMETH, SUR_Status, S13FRM, S13FRMName, Name, Source, SourcePath, KBDPRJName, KBDPRJCode, KBD_Client, KBD_PRJ, KBDREP_AVL, KBD_CITAT, KBD_DMT_No, KBDDMT_TIL, V_Data, V_Name, V_PRJCode, V_INV_No, V_CITAT, V_REP_Path, PO_KAUST, ResultAVL, ResultREF, AconexREF, UID_, S13MTBGID, Remark1, Remark2, DtraSource, PrsMeth, CreationDa, Creator, EditDate, Editor, created_us, created_da, last_edite, last_edi_1, DateSur, d_Season, d_KBDSubCA, d_SurAreaF, d_SPC_List, d_SPC_Code, d_CommonNa, d_SPC_Name, d_FaunaTyp, d_FamilyNa, d_Genus, d_IUCN_STA, d_IUCN_S_1, d_OBSR_Typ, d_EVIDE, d_Stage, d_BEHAV, d_WindDIR, d_Cloud, d_Rain, d_Visibili, d_Tide, d_KBDCATE, d_DataMETH, d_SUR_Stat, d_S13FRM, d_KBDPRJNa, d_KBDPRJCo, d_KBD_Clie, d_KBD_PRJ, d_KBDREP_A, d_V_Data, d_ResultAV, d_PrsMeth, geometry","globalid:object, Season:object, KBDSubCATE:object, NameOTH:object, GPS_REF:object, GPSWPT:object, SUR_Area:object, Area_Code:object, SurAreaOTH:object, SurAreaFlt:object, Surveyor:object, SPC_List:object, SPC_Code:object, CommonName:object, SPC_Name:object, SPC_OTH:object, Note:object, FaunaType:object, FamilyName:object, Genus:object, IUCN_STATG:object, IUCN_STATR:object, HCP_NCWD04:object, GCC_CVN03:object, OBSR_Type:object, EVIDE:object, EVIDE_Note:object, EVIDE_OTH:object, Stage:object, CNT_Adult:int64, CNT_JUV:int64, CNT_Young:int64, CNT_Total:int64, MIN_CNT:int64, MAX_CNT:int64, Best_CNT:int64, BEHAV:object, BEHAV_Note:object, Habitat:object, DepthM:int64, GEN_Note:object, PHO_CNT:int64, PHO_Name:object, PHO_EXT:object, Date_Time:datetime64[ms], SUR_Period:object, Date_Month:object, SUR_Year:int64, GPS_HRZACU:float64, Lon_X:float64, Lat_Y:float64, WindSPEM:int64, WindDIR:object, Cloud:object, TEMP:int64, Rain:object, Visibility:object, Tide:object, KBDCATE:object, KBD_Area:object, DataMETH:object, SUR_Status:object, S13FRM:object, S13FRMName:object, Name:object, Source:object, SourcePath:object, KBDPRJName:object, KBDPRJCode:object, KBD_Client:object, KBD_PRJ:object, KBDREP_AVL:object, KBD_CITAT:object, KBD_DMT_No:object, KBDDMT_TIL:object, V_Data:object, V_Name:object, V_PRJCode:object, V_INV_No:object, V_CITAT:object, V_REP_Path:object, PO_KAUST:object, ResultAVL:object, ResultREF:object, AconexREF:object, UID_:object, S13MTBGID:object, Remark1:object, Remark2:object, DtraSource:object, PrsMeth:object, CreationDa:datetime64[ms], Creator:object, EditDate:datetime64[ms], Editor:object, created_us:object, created_da:datetime64[ms], last_edite:object, last_edi_1:datetime64[ms], DateSur:datetime64[ms], d_Season:object, d_KBDSubCA:object, d_SurAreaF:object, d_SPC_List:object, d_SPC_Code:object, d_CommonNa:object, d_SPC_Name:object, d_FaunaTyp:object, d_FamilyNa:object, d_Genus:object, d_IUCN_STA:object, d_IUCN_S_1:object, d_OBSR_Typ:object, d_EVIDE:object, d_Stage:object, d_BEHAV:object, d_WindDIR:object, d_Cloud:object, d_Rain:object, d_Visibili:object, d_Tide:object, d_KBDCATE:object, d_DataMETH:object, d_SUR_Stat:object, d_S13FRM:object, d_KBDPRJNa:object, d_KBDPRJCo:object, d_KBD_Clie:object, d_KBD_PRJ:object, d_KBDREP_A:object, d_V_Data:object, d_ResultAV:object, d_PrsMeth:object, geometry:geometry",Megafauna,Bird,,22.882,False
D:\NEOM_PROJECT\Marine_New_Data\Complete dataset for birds and megafauna\2025-05-11_All Marine Megafauna & Avifauna Geodatabase KMZ\FINAL\Shape\Turtle.shp,Turtle,success,,EPSG:32636,32636.0,Point,"[np.float64(654357.896737936), np.float64(3036810.339075914), np.float64(756696.5751388851), np.float64(3212493.7223998294)]","[(679948.1056413865, 3212493.7223998294), (757609.9397508196, 3037215.0294374977), (693669.0764329104, 3008884.348301768), (616007.2417799988, 3184163.041157009)]",1600.0,True,False,,,139.0,"GlobalID, SUR_TM, Season, KBDSubCATE, NameOTH, GPS_REF, GPSWPT, SUR_Area, Area_Code, SurAreaOTH, SurAreaFlt, Surveyor, SPC_List, SPC_Code, CommonName, SPC_Name, SPC_OTH, FaunaType, FamilyName, Genus, IUCN_STATG, IUCN_STATR, HCP_NCWD04, GCC_CVN03, Slope, SUBST, VEG_DMN, OBSR, OBSR_Type, EVIDE, EVIDE_Age, Sighting, Gender, Stage, NES_SUC, NES_ASMNT, NES_TM_ST, NESTopCM, NESBotCM, NESdepthCM, EggNMLCNT, EggMYCNT, EggYL, EggCNT, Hatched, HatchedNot, Pipped, NES_TM_End, HATL_TM_ST, HATLTMEnd, HATL_CNT, Tag, Tag_TM_ST, TagNo, FLTG_LE, FLTG_RI, PTT_STTG, FLTGLE_Old, FLTGRI_Old, PTTSTTGOld, Tag_TM_End, MEAS, CARCUR_CM, WID_CM, WID_HeadCM, DIA_MM, Sample_COL, DNA_SAM, DnaSAMCode, STIS_COL, STIS_ID, SAM_OTH, PHO_CNT, Date_Time, SUR_Period, Date_Month, SUR_Year, GPS_HRZACU, Lon_X, Lat_Y, KBDCATE, KBD_Area, DataMETH, SUR_Status, S13FRM, S13FRMName, Source, SourcePath, KBDPRJName, KBDPRJCode, KBD_Client, KBD_PRJ, KBDREP_AVL, KBD_CITAT, KBD_DMT_No, KBDDMT_TIL, CreationDa, Creator, EditDate, Editor, Date, d_Season, d_KBDSubCA, d_SurAreaF, d_SPC_List, d_SPC_Code, d_CommonNa, d_SPC_Name, d_FaunaTyp, d_FamilyNa, d_Genus, d_IUCN_STA, d_IUCN_S_1, d_Slope, d_SUBST, d_VEG_DMN, d_OBSR, d_OBSR_Typ, d_EVIDE, d_Sighting, d_Gender, d_Stage, d_NES_SUC, d_NES_ASMN, d_Tag, d_MEAS, d_Sample_C, d_DNA_SAM, d_STIS_COL, d_KBDCATE, d_DataMETH, d_SUR_Stat, d_S13FRM, d_KBDPRJNa, d_KBDPRJCo, d_KBD_Clie, d_KBD_PRJ, d_KBDREP_A, geometry","GlobalID:object, SUR_TM:object, Season:object, KBDSubCATE:object, NameOTH:object, GPS_REF:object, GPSWPT:object, SUR_Area:object, Area_Code:object, SurAreaOTH:object, SurAreaFlt:object, Surveyor:object, SPC_List:object, SPC_Code:object, CommonName:object, SPC_Name:object, SPC_OTH:object, FaunaType:object, FamilyName:object, Genus:object, IUCN_STATG:object, IUCN_STATR:object, HCP_NCWD04:object, GCC_CVN03:object, Slope:object, SUBST:object, VEG_DMN:object, OBSR:object, OBSR_Type:object, EVIDE:object, EVIDE_Age:object, Sighting:object, Gender:object, Stage:object, NES_SUC:object, NES_ASMNT:object, NES_TM_ST:object, NESTopCM:float64, NESBotCM:float64, NESdepthCM:float64, EggNMLCNT:int64, EggMYCNT:int64, EggYL:int64, EggCNT:int64, Hatched:int64, HatchedNot:int64, Pipped:int64, NES_TM_End:object, HATL_TM_ST:object, HATLTMEnd:object, HATL_CNT:int64, Tag:object, Tag_TM_ST:object, TagNo:int64, FLTG_LE:object, FLTG_RI:object, PTT_STTG:object, FLTGLE_Old:object, FLTGRI_Old:object, PTTSTTGOld:object, Tag_TM_End:object, MEAS:object, CARCUR_CM:float64, WID_CM:float64, WID_HeadCM:float64, DIA_MM:float64, Sample_COL:object, DNA_SAM:object, DnaSAMCode:object, STIS_COL:object, STIS_ID:object, SAM_OTH:object, PHO_CNT:int64, Date_Time:datetime64[ms], SUR_Period:object, Date_Month:object, SUR_Year:int64, GPS_HRZACU:float64, Lon_X:float64, Lat_Y:float64, KBDCATE:object, KBD_Area:object, DataMETH:object, SUR_Status:object, S13FRM:object, S13FRMName:object, Source:object, SourcePath:object, KBDPRJName:object, KBDPRJCode:object, KBD_Client:object, KBD_PRJ:object, KBDREP_AVL:object, KBD_CITAT:object, KBD_DMT_No:object, KBDDMT_TIL:object, CreationDa:datetime64[ms], Creator:object, EditDate:datetime64[ms], Editor:object, Date:object, d_Season:object, d_KBDSubCA:object, d_SurAreaF:object, d_SPC_List:object, d_SPC_Code:object, d_CommonNa:object, d_SPC_Name:object, d_FaunaTyp:object, d_FamilyNa:object, d_Genus:object, d_IUCN_STA:object, d_IUCN_S_1:object, d_Slope:object, d_SUBST:object, d_VEG_DMN:object, d_OBSR:object, d_OBSR_Typ:object, d_EVIDE:object, d_Sighting:object, d_Gender:object, d_Stage:object, d_NES_SUC:object, d_NES_ASMN:object, d_Tag:object, d_MEAS:object, d_Sample_C:object, d_DNA_SAM:object, d_STIS_COL:object, d_KBDCATE:object, d_DataMETH:object, d_SUR_Stat:object, d_S13FRM:object, d_KBDPRJNa:object, d_KBDPRJCo:object, d_KBD_Clie:object, d_KBD_PRJ:object, d_KBDREP_A:object, geometry:geometry",Turtle,Bird,,7.642,True
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\CoastalSurvey\MasterList.shp,MasterList,success,,EPSG:32636,32636.0,Point,"[np.float64(654471.5059172485), np.float64(3038013.9487921614), np.float64(755949.9197644362), np.float64(3190776.4456388885)]","[(678434.9500308328, 3190776.4456388885), (759095.6678398037, 3039693.4112123903), (706449.6361361541, 3011586.571174152), (625788.9187533702, 3162669.60572361)]",25.0,True,False,,,5.0,"ID, X, Y, STATUS, geometry","ID:object, X:float64, Y:float64, STATUS:object, geometry:geometry",MasterList,Flora And Fauna,Survey,0.003,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Preload\Buffer_Al Farsha Island.shp,Buffer_Al Farsha Island,success,,EPSG:3857,3857.0,Polygon,"[np.float64(3898455.7584215985), np.float64(3254801.557593268), np.float64(3902197.2864256836), np.float64(3258318.992978572)]","[(3899635.7812061654, 3258762.4130701227), (3902318.966708161, 3255409.9662027066), (3900143.898149044, 3253669.1146226446), (3897460.7126470483, 3257021.5614900608)]",1.0,True,False,,,4.0,"id, Name, Area, geometry","id:int64, Name:object, Area:float64, geometry:geometry",Buffer_Al Farsha Island,Flora And Fauna,Survey,0.0,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Preload\Buffer_Maktal Ali Islands.shp,Buffer_Maktal Ali Islands,success,,EPSG:3857,3857.0,Polygon,"[np.float64(3856742.773357498), np.float64(3251104.02541522), np.float64(3861444.095591297), np.float64(3256524.135754341)]","[(3859388.397272257, 3250988.5272734445), (3856498.558085675, 3256067.6385650537), (3859717.020964289, 3257898.8329644264), (3862606.8601508713, 3252819.721672817)]",1.0,True,False,,,4.0,"id, Name, Area, geometry","id:int64, Name:object, Area:float64, geometry:geometry",Buffer_Maktal Ali Islands,Flora And Fauna,Survey,0.0,False
