file_path,file_name,file_type,status,error,marine_mammals,sharks_rays,reptiles,fish,birds,invertebrates_habitat,survey_types,places,data_types,conservation
E:\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Birds and Turtles Surveys AECOM 04 NEOM FinalData GDB 20211209\Spatial Data\Birds and Turtles Surveys AECOM 04_NEOM_FinalData_GDB_20211209.gdb,Birds and Turtles Surveys AECOM 04_NEOM_FinalData_GDB_20211209.gdb,geodatabase,success,,"bottlenose, dolphin, dugong, humpback","guitarfish, stingray","green turtle, hawksbill, turtle",,"booby, falcon, gull, heron, osprey, plover, reef heron, sooty falcon, sooty gull, tern, white-eyed gull","algae, coral, crab, sea cucumber, seagrass, sponge","intertidal, monitoring, nesting, observation, survey","NEOM, Sanafir, Sindalah, bay, island, reef","behaviour, breeding, count, feeding, habitat, measurement, track",debris
E:\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Islands Flora and Fauna Baseline Studies\Reports\Final_60658701_NEOMBirdsTurtles_2021-12-23.pdf,Final_60658701_NEOMBirdsTurtles_2021-12-23.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Islands Flora and Fauna Baseline Studies\Spatial Data\Islands_Flora_and_Fauna_Baseline_Studies.gdb,Islands_Flora_and_Fauna_Baseline_Studies.gdb,geodatabase,success,,"bottlenose, dolphin, dugong, humpback","guitarfish, stingray","green turtle, hawksbill, turtle",,"booby, falcon, gull, heron, osprey, plover, reef heron, sooty falcon, sooty gull, tern, white-eyed gull","algae, coral, crab, sea cucumber, seagrass, sponge","baseline, intertidal, monitoring, nesting, observation","Sanafir, Sindalah, bay, island, reef","behaviour, breeding, count, feeding, habitat, measurement, track",debris
E:\Marine Division\Long Term Monitoring Programs 2021 (Marine)\N695 NEOM Mainland Turtle Survey\Reports\N695-1221-1.1 NEOM Mainland Turtle Survey Report (Final).pdf,N695-1221-1.1 NEOM Mainland Turtle Survey Report (Final).pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2021 (Marine)\N695 NEOM Mainland Turtle Survey\Spatial Data\N695_Mainland_Turtle_Survey.gdb,N695_Mainland_Turtle_Survey.gdb,geodatabase,success,,,,"hawksbill, turtle",,,,"monitoring, survey","Duba, Magna, NEOM, Sharma, Sindalah","count, habitat, latitude, length, longitude",
E:\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Ocean X Survey\Reports\NEOM Ocean X_Final.pdf,NEOM Ocean X_Final.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Ocean X Survey\Spatial Data\OCEANX_Survey.gdb,OCEANX_Survey.gdb,geodatabase,success,,,"manta, reef shark, shark","green turtle, hawksbill, turtle",,,"coral, seagrass, sponge","monitoring, nesting, observation, sighting, survey","Aqaba, Duba, NEOM, island, reef","coordinate, count, habitat, latitude, longitude, track, waypoint",
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Cetacean Surveys\Reports\N694-0322-1.1 NEOM Cetacean Survey Report final.pdf,N694-0322-1.1 NEOM Cetacean Survey Report final.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Cetacean Surveys\Spatial Data\Cetacean_Surveys.gdb,Cetacean_Surveys.gdb,geodatabase,success,,"bottlenose, cetacean, dolphin, dugong, false killer, humpback, indo-pacific, pantropical, spinner, whale","eagle ray, manta, mobula, ray","green turtle, turtle",,"booby, cormorant, eagle, flamingo, gull, heron, osprey, reef heron, sooty gull, tern",shrimp,"acoustic, monitoring, nesting, observation, sighting, survey, transect","NEOM, island, reef","GPS, behavior, coordinate, count, depth, feeding, frequency, habitat, latitude, longitude, track, waypoint","conservation, fishing, reserve"
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Deep Corals\Reports\s43247-024-01830-9.pdf,s43247-024-01830-9.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Deep Corals\Spatial Data\Deep_Corals.gdb,Deep_Corals.gdb,geodatabase,success,,,,,,,coral,monitoring,,"count, depth, habitat, latitude, longitude",
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Flying Fish Study\Reports\2025-04-30_KBD_NEOM_TREP_MEBS_NNR_Rev01.pdf,2025-04-30_KBD_NEOM_TREP_MEBS_NNR_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Flying Fish Study\Spatial Data\Flying_Fish_Data.gdb,Flying_Fish_Data.gdb,geodatabase,success,,,"ray, stingray","hawksbill, sea turtle, turtle","fusilier, parrotfish",,"coral, seagrass","baseline, monitoring, observation",reef,habitat,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 1\Reports\N745-0722-TER-1.0 NEOM Island F&F_Survey1.pdf,N745-0722-TER-1.0 NEOM Island F&F_Survey1.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 1\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey1.gdb,IslandsFloraAndFauna_BaselineStudies_Survey1.gdb,geodatabase,success,,dolphin,,"green turtle, hawksbill, turtle",,"booby, crab plover, egret, falcon, gull, heron, osprey, plover, reef heron, sooty falcon, sooty gull, tern, tropicbird, white-eyed gull","coral, crab","baseline, monitoring, nesting, sighting, survey","Duba, NEOM, island, reef","breeding, count, feeding, length, size, substrate, track",fishing
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 2\Reports\N745-1022-S2R-1.0 NEOM Island F&F and Mainland Survey 02 Report.pdf,N745-1022-S2R-1.0 NEOM Island F&F and Mainland Survey 02 Report.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 2\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey2.gdb,IslandsFloraAndFauna_BaselineStudies_Survey2.gdb,geodatabase,success,,,,"green turtle, hawksbill, turtle",,"booby, crab plover, falcon, gull, heron, osprey, plover, reef heron, sandpiper, sooty falcon, sooty gull, tern, white-eyed gull",crab,"baseline, monitoring, survey","island, reef","count, feeding, habitat, latitude, length, longitude, substrate",
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Reports\NEOM Island and Mainland Survey Report .pdf,NEOM Island and Mainland Survey Report .pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,geodatabase,success,,,,"green turtle, turtle",,"booby, egret, gull, heron, osprey, plover, reef heron, sandpiper, sooty gull, tern, white-eyed gull",crab,"baseline, monitoring, quadrat, survey","NEOM, island, reef","GPS, count, habitat, track",
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Keystone Bird Artificial nest (Sooty falcon & Osprey)\Reports\2023-10-03_KBD_NEOM_TEPR_Keystone Species_Artificial Nest_Interim Report_Rev01.pdf,2023-10-03_KBD_NEOM_TEPR_Keystone Species_Artificial Nest_Interim Report_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Keystone Bird Artificial nest (Sooty falcon & Osprey)\Spatial Data\Avifauna_Artificial_Nest_IR_Rev01_20231010.gdb,Avifauna_Artificial_Nest_IR_Rev01_20231010.gdb,geodatabase,success,,,,,,"falcon, osprey, sooty falcon",,"camera trap, monitoring, nesting, survey, transect","NEOM, Sindalah, island","GPS, breeding, feeding, length",
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Marine Megafauna Aerial Survey\Reports\2024-08-19_KBD_NEOM_TREP_MMAS_Final Report_Rev02.pdf,2024-08-19_KBD_NEOM_TREP_MMAS_Final Report_Rev02.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Marine Megafauna Aerial Survey\Spatial Data\Marine_Megafauna_Aerial_Survey.gdb,Marine_Megafauna_Aerial_Survey.gdb,geodatabase,success,,"cetacean, dolphin, dugong, pantropical, spinner","eagle ray, ray, shark",turtle,"barracuda, tuna",eagle,"algae, coral, shrimp","acoustic, aerial, monitoring, photo id, sighting, survey, transect","NEOM, Sindalah, island, lagoon, reef","behavior, behaviour, depth, feeding, habitat, latitude, longitude, size, track, turbidity, waypoint",fishing
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Megafauna (Cetaceans) baseline study\Reports\2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02.pdf,2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Megafauna (Cetaceans) baseline study\Spatial Data\83291_NEOM_MM_OBS_KBD.gdb,83291_NEOM_MM_OBS_KBD.gdb,geodatabase,success,,"bottlenose, cetacean, dolphin, dugong, humpback, indo-pacific, pantropical, spinner","ray, shark","green turtle, hawksbill, sea turtle, turtle",,"booby, cormorant, crab plover, eagle, egret, falcon, gull, heron, osprey, pelican, plover, reef heron, sandpiper, sooty falcon, sooty gull, tern, tropicbird, white-eyed gull","coral, crab, seagrass, shrimp","acoustic, baseline, monitoring, nesting, observation, sighting, survey, transect","NEOM, Tiran, coast, island, offshore, reef","abundance, behaviour, count, depth, feeding, habitat, track","MPA, endangered, fishery, plastic, threatened, vulnerable"
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Megafauna Boat Survey\Reports\2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02 (1).pdf,2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02 (1).pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Megafauna Boat Survey\Spatial Data\Megafauna_Boat_Survey.gdb,Megafauna_Boat_Survey.gdb,geodatabase,success,,"bottlenose, cetacean, dolphin, dugong, humpback, indo-pacific, pantropical, spinner",shark,"green turtle, hawksbill, sea turtle, turtle",,,seagrass,"acoustic, boat survey, monitoring, nesting, observation, sample, sighting, survey, transect","NEOM, Sindalah, island, offshore, reef","abundance, behaviour, count, depth, feeding, habitat, track","MPA, conservation"
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\NEOM BRUV Survey 2023\Reports\2023 NEOM BRUVS survey figures.pdf,2023 NEOM BRUVS survey figures.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\NEOM BRUV Survey 2023\Spatial Data\BRUV_Survey_2023.gdb,BRUV_Survey_2023.gdb,geodatabase,success,,dolphin,"blacktip, eagle ray, guitarfish, ray, reef shark, shark, stingray, tiger shark, whitetip","sea turtle, turtle","angelfish, anthias, barracuda, blenny, butterflyfish, damselfish, emperor, fusilier, grouper, moray, parrotfish, rabbitfish, snapper, surgeonfish, trevally, triggerfish, tuna, wrasse",eagle,"coral, crab, shrimp","BRUV, monitoring, survey, tagging","NEOM, Red Sea, offshore, reef","count, feeding, habitat",
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Species management plans project (Dugong)\Reports\NEOM_Dugong Management Plan.pdf,NEOM_Dugong Management Plan.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Species management plans project (Dugong)\Spatial Data\83242_20230615_KBD_NEOM_TREP_MSR_CAP_Dugong_IR_Rev01.gdb,83242_20230615_KBD_NEOM_TREP_MSR_CAP_Dugong_IR_Rev01.gdb,geodatabase,success,,dugong,,"hawksbill, turtle",,,seagrass,"aerial, census, monitoring, observation, sample, sighting, survey","NEOM, Sindalah, island, reef","feeding, habitat, track, weight","conservation, management, vulnerable"
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Species Management Plans project (Sooty Falcon)\Reports\NEOM_SF Management Plan_Rev07.pdf,NEOM_SF Management Plan_Rev07.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Species Management Plans project (Sooty Falcon)\Spatial Data\83242_KBD_Sooty_Falcon_2022_October_Draft.gdb,83242_KBD_Sooty_Falcon_2022_October_Draft.gdb,geodatabase,success,,,,turtle,,"booby, crab plover, eagle, falcon, gull, heron, osprey, plover, raptor, reef heron, sandpiper, sooty falcon, sooty gull, tern, white-eyed gull",crab,"camera trap, monitoring, nesting, observation, satellite tag","Haql, NEOM, Sharma, Sindalah, Tabuk, Tiran, bay, island, reef","breeding, count, feeding, migration, track","conservation, management"
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Species Management Plans project (Sooty Falcon)\Spatial Data\KBD_20230821_Presentation.gdb,KBD_20230821_Presentation.gdb,geodatabase,success,,"bottlenose, cetacean, dolphin, dugong, humpback, indo-pacific, pantropical, spinner, whale","blacktip, eagle ray, guitarfish, hammerhead, manta, mobula, ray, reef shark, shark, whale shark, whitetip","green turtle, hawksbill, sea turtle, turtle","barracuda, grouper, tuna, wrasse","booby, cormorant, crab plover, eagle, egret, falcon, gull, heron, osprey, pelican, plover, reef heron, sandpiper, shearwater, sooty falcon, sooty gull, tern, tropicbird, white-eyed gull","coral, crab, seagrass","BRUV, assessment, baseline, camera trap, impact, intertidal, monitoring, nesting, observation, sample, sighting, survey, tagging, transect","NEOM, Red Sea, Sanafir, Sindalah, Tiran, bay, coast, island, lagoon, offshore, reef","GPS, abundance, behaviour, breeding, count, depth, feeding, habitat, latitude, longitude, size, track, turbidity","conservation, fishing, impact, management, reserve"
E:\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Species Management Plans project (Sooty Falcon)\Spatial Data\Species_Recovery_Plans.gdb,Species_Recovery_Plans.gdb,geodatabase,success,,dolphin,,,,"falcon, gull, sooty falcon, white-eyed gull",,monitoring,"NEOM, island","length, track",management
E:\$RECYCLE.BIN\$I1VHPCG.pdf,$I1VHPCG.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\$RECYCLE.BIN\$R1VHPCG.pdf,$R1VHPCG.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\$RECYCLE.BIN\$I7QDKJO.pdf,$I7QDKJO.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\$RECYCLE.BIN\$R7QDKJO.pdf,$R7QDKJO.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Miscellaneous Old Turtle Data\Combined_Turtle_Data_2018_to_2021.gdb,Combined_Turtle_Data_2018_to_2021.gdb,geodatabase,success,,,"eagle ray, ray, shark","green turtle, hawksbill, sea turtle, turtle",pufferfish,"eagle, heron, osprey","algae, coral, crab, cuttlefish, giant clam, mangrove, seagrass, sponge, starfish","intertidal, nesting, observation, sighting, survey","Duba, Magna, NEOM, Red Sea, Sanafir, Sharma, Sindalah, bay, coast, island, lagoon, reef","behavior, count, feeding, habitat, latitude, longitude, size, track, waypoint","fishing, plastic"
E:\Marine New Data\Megafauna (Cetaceans) baseline study\06_Final Report\2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02.pdf,2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\06_Final Report\._2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02.pdf,._2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\20231217_Final Neom Schema Submission\KBD_Data_Dictionary_Rev01.xlsx,KBD_Data_Dictionary_Rev01.xlsx,excel,error,ERROR: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.,,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\20231217_Final Neom Schema Submission\._KBD_Data_Dictionary_Rev01.xlsx,._KBD_Data_Dictionary_Rev01.xlsx,excel,error,"ERROR: Excel file format cannot be determined, you must specify an engine manually.",,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\20231217_Final Neom Schema Submission\2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02.pdf,2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\20231217_Final Neom Schema Submission\._2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02.pdf,._2023-12-05_KBD_NEOM_TREP_MMSOs_Final Report_Rev02.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\20231217_Final Neom Schema Submission\83291_NEOM_MM_OBS_KBD.gdb,83291_NEOM_MM_OBS_KBD.gdb,geodatabase,success,,"bottlenose, cetacean, dolphin, dugong, humpback, indo-pacific, pantropical, spinner","ray, shark","green turtle, turtle",,"booby, cormorant, crab plover, eagle, egret, falcon, gull, heron, osprey, pelican, plover, reef heron, sandpiper, sooty falcon, sooty gull, tern, tropicbird, white-eyed gull","coral, crab, shrimp","acoustic, baseline, nesting, observation, sighting, survey, transect","NEOM, Tiran, coast, island, offshore, reef","behaviour, depth, feeding, habitat, track","endangered, fishery, plastic, threatened, vulnerable"
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\Marine Megafauna shape files Dolphin Turtle Dugong\Dolphin.shp,Dolphin.shp,shapefile,success,,"bottlenose, cetacean, dolphin, dugong, humpback, indo-pacific, pantropical, spinner",shark,turtle,,,seagrass,"acoustic, baseline, observation, sighting, survey, transect","NEOM, island, offshore, reef","abundance, behaviour, depth, feeding",
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\Marine Megafauna shape files Dolphin Turtle Dugong\._Dolphin.shp,._Dolphin.shp,shapefile,error,"ERROR: 'E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\Marine Megafauna shape files Dolphin Turtle Dugong\._Dolphin.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\Marine Megafauna shape files Dolphin Turtle Dugong\Sea_Turtle.shp,Sea_Turtle.shp,shapefile,success,,"cetacean, dolphin, dugong",,"green turtle, hawksbill, sea turtle, turtle",,,seagrass,"baseline, nesting, sighting, transect","NEOM, island","abundance, behaviour, feeding, track",
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\Marine Megafauna shape files Dolphin Turtle Dugong\._Sea_Turtle.shp,._Sea_Turtle.shp,shapefile,error,"ERROR: 'E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\Marine Megafauna shape files Dolphin Turtle Dugong\._Sea_Turtle.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\Marine Megafauna shape files Dolphin Turtle Dugong\Dugong.shp,Dugong.shp,shapefile,success,,"cetacean, dolphin, dugong",,turtle,,,seagrass,"baseline, observation, sample, sighting, survey, transect","NEOM, Sindalah, island, offshore, reef","abundance, behaviour, feeding, habitat",conservation
E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\Marine Megafauna shape files Dolphin Turtle Dugong\._Dugong.shp,._Dugong.shp,shapefile,error,"ERROR: 'E:\Marine New Data\Megafauna (Cetaceans) baseline study\GIS data\Marine Megafauna shape files Dolphin Turtle Dugong\._Dugong.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\Raw Data Marine Megafauna\M17102_NEOM_M_FAUNA_V_N_FG_5oes.xlsx,M17102_NEOM_M_FAUNA_V_N_FG_5oes.xlsx,excel,error,ERROR: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.,,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\Raw Data Marine Megafauna\._M17102_NEOM_M_FAUNA_V_N_FG_5oes.xlsx,._M17102_NEOM_M_FAUNA_V_N_FG_5oes.xlsx,excel,error,"ERROR: Excel file format cannot be determined, you must specify an engine manually.",,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\02_Desktop Report\2023-02-11_KBD_NEOM_TREP_MMSOs_Desktop Report_Rev01.pdf,2023-02-11_KBD_NEOM_TREP_MMSOs_Desktop Report_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\02_Desktop Report\._2023-02-11_KBD_NEOM_TREP_MMSOs_Desktop Report_Rev01.pdf,._2023-02-11_KBD_NEOM_TREP_MMSOs_Desktop Report_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\03_Daily Reports\Summer Survey\83291_NEOM MMO_20230809.pdf,83291_NEOM MMO_20230809.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\03_Daily Reports\Summer Survey\._83291_NEOM MMO_20230809.pdf,._83291_NEOM MMO_20230809.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\03_Daily Reports\Summer Survey\83291_NEOM MMO_20230808.pdf,83291_NEOM MMO_20230808.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\03_Daily Reports\Summer Survey\._83291_NEOM MMO_20230808.pdf,._83291_NEOM MMO_20230808.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\03_Daily Reports\Summer Survey\83291_NEOM MMO_20230728.pdf,83291_NEOM MMO_20230728.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\03_Daily Reports\Summer Survey\._83291_NEOM MMO_20230728.pdf,._83291_NEOM MMO_20230728.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\03_Daily Reports\Summer Survey\83291_NEOM MMO_20230729.pdf,83291_NEOM MMO_20230729.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\03_Daily Reports\Summer Survey\._83291_NEOM MMO_20230729.pdf,._83291_NEOM MMO_20230729.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\03_Daily Reports\Summer Survey\83291_NEOM MMO_20230717.pdf,83291_NEOM MMO_20230717.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Megafauna (Cetaceans) baseline study\03_Daily Reports\Summer Survey\._83291_NEOM MMO_20230717.pdf,._83291_NEOM MMO_20230717.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
